algorithm,alpha,n_clients,partition_seed,model_seed,round,val_macro_f1,val_loss,diverged,diverged_at
fedavg_sgd,0.1,30,102,55,34,0.43303414979885496,0.11035358216761063,False,
fedavg_sgd,0.1,30,102,55,35,0.41926076381006927,0.11189829893304166,False,
fedavg_sgd,0.1,30,102,55,36,0.43571745788419286,0.10837719407102056,False,
fedavg_sgd,0.1,30,102,55,37,0.4133745719487818,0.1161195872094417,False,
fedavg_sgd,0.1,30,102,55,38,0.4609781210646812,0.10505551839702387,False,
fedavg_sgd,0.1,30,102,55,39,0.42619969839432936,0.11136366201492133,False,
fedavg_sgd,0.1,30,102,55,40,0.4517785564579619,0.11077902777972078,False,
fedavg_sgd,0.1,30,102,55,41,0.43009272355776074,0.11173605443836641,False,
fedavg_sgd,0.1,30,102,55,42,0.4740506397203191,0.1072731175687766,False,
fedavg_sgd,0.1,30,102,55,43,0.4252702143584374,0.11087421144098422,False,
fedavg_sgd,0.1,30,102,55,44,0.45992818966650806,0.10209880536776811,False,
fedavg_sgd,0.1,30,102,55,45,0.43530136587769097,0.10726535036512864,False,
fednova_sgd,0.1,30,102,11,1,0.20780455101520295,0.21338900567522695,False,
fednova_sgd,0.1,30,102,11,2,0.016921828187090773,0.1606591320851195,False,
fednova_sgd,0.1,30,102,11,3,0.21012797211202358,0.13598893196378503,False,
fednova_sgd,0.1,30,102,11,4,0.1777753805218781,0.09394303843085641,False,
fednova_sgd,0.1,30,102,11,5,0.31876360303284934,0.11102343171301596,False,
fednova_sgd,0.1,30,102,11,6,0.206376634325382,0.09422995372569476,False,
fednova_sgd,0.1,30,102,11,7,0.24237608252104068,0.14463143828638253,False,
fednova_sgd,0.1,30,102,11,8,0.26629724981456865,0.08026211820207799,False,
fednova_sgd,0.1,30,102,11,9,0.35089407297686276,0.0929339340263782,False,
fednova_sgd,0.1,30,102,11,10,0.30543845765307426,0.07130154648093198,False,
fednova_sgd,0.1,30,102,11,11,0.41227268002733264,0.07665138654427302,False,
fednova_sgd,0.1,30,102,11,12,0.27562436125428996,0.06629758963953233,False,
fednova_sgd,0.1,30,102,11,13,0.40907711603905256,0.06791643488387042,False,
fednova_sgd,0.1,30,102,11,14,0.29715486064391194,0.081713015687606,False,
fednova_sgd,0.1,30,102,11,15,0.377522235054386,0.07183117022614824,False,
fednova_sgd,0.1,30,102,11,16,0.2898077019048656,0.08779543586962552,False,
fednova_sgd,0.1,30,102,11,17,0.4340507701513114,0.06558028989493532,False,
fednova_sgd,0.1,30,102,11,18,0.31333235645058743,0.06959040622053964,False,
fednova_sgd,0.1,30,102,11,19,0.38620723138852436,0.06210807925499132,False,
fednova_sgd,0.1,30,102,11,20,0.3193675751391376,0.07544710366900578,False,
fednova_sgd,0.1,30,102,11,21,0.38982798189432627,0.0653048207363605,False,
fednova_sgd,0.1,30,102,11,22,0.32347569622598565,0.07457601335236827,False,
fednova_sgd,0.1,30,102,11,23,0.40282539425531905,0.06399299701551417,False,
fednova_sgd,0.1,30,102,11,24,0.33108545824443847,0.06835958530387391,False,
fednova_sgd,0.1,30,102,11,25,0.4023365505931848,0.0616338836022975,False,
fednova_sgd,0.1,30,102,11,26,0.33210157631158155,0.07131563374630123,False,
fednova_sgd,0.1,30,102,11,27,0.4030726145026393,0.06257238235525169,False,
fednova_sgd,0.1,30,102,11,28,0.3317081454824363,0.06886712332371311,False,
fednova_sgd,0.1,30,102,11,29,0.4058622245812922,0.05956594048976832,False,
fednova_sgd,0.1,30,102,11,30,0.33018229483478945,0.06560218730284445,False,
fednova_sgd,0.1,30,102,11,31,0.4070095234297582,0.061005330552438675,False,
fednova_sgd,0.1,30,102,11,32,0.34574286618193556,0.06729266448011079,False,
fednova_sgd,0.1,30,102,11,33,0.41133141190048467,0.05524201583742415,False,
fednova_sgd,0.1,30,102,11,34,0.3282131566339837,0.06338004381095436,False,
fednova_sgd,0.1,30,102,11,35,0.4117805919094373,0.05866416042529134,False,
fednova_sgd,0.1,30,102,11,36,0.3263328169017469,0.06729954511719895,False,
fednova_sgd,0.1,30,102,11,37,0.4054905668737103,0.05855204557418222,False,
fednova_sgd,0.1,30,102,11,38,0.3396319889290835,0.06652551732320991,False,
